"","x"
"1","1"
"2","10"
"3","100"
"4","101"
"5","102"
"6","103"
"7","104"
"8","105"
"9","106"
"10","107"
"11","108"
"12","109"
"13","11"
"14","110"
"15","111"
"16","112"
"17","113"
"18","114"
"19","115"
"20","116"
"21","117"
"22","118"
"23","119"
"24","12"
"25","120"
"26","121"
"27","122"
"28","123"
"29","124"
"30","125"
"31","126"
"32","127"
"33","128"
"34","129"
"35","13"
"36","130"
"37","131"
"38","132"
"39","133"
"40","134"
"41","135"
"42","136"
"43","137"
"44","138"
"45","139"
"46","14"
"47","140"
"48","141"
"49","142"
"50","143"
"51","144"
"52","145"
"53","146"
"54","147"
"55","148"
"56","149"
"57","15"
"58","150"
"59","16"
"60","17"
"61","18"
"62","19"
"63","2"
"64","20"
"65","21"
"66","22"
"67","23"
"68","24"
"69","25"
"70","26"
"71","27"
"72","28"
"73","29"
"74","3"
"75","30"
"76","31"
"77","32"
"78","33"
"79","34"
"80","35"
"81","36"
"82","37"
"83","38"
"84","39"
"85","4"
"86","40"
"87","41"
"88","42"
"89","44"
"90","45"
"91","46"
"92","47"
"93","5"
"94","50"
"95","51"
"96","53"
"97","58"
"98","59"
"99","6"
"100","60"
"101","61"
"102","64"
"103","65"
"104","66"
"105","67"
"106","69"
"107","7"
"108","70"
"109","71"
"110","72"
"111","73"
"112","74"
"113","75"
"114","76"
"115","77"
"116","78"
"117","79"
"118","8"
"119","80"
"120","81"
"121","82"
"122","83"
"123","84"
"124","85"
"125","86"
"126","87"
"127","88"
"128","89"
"129","9"
"130","90"
"131","91"
"132","92"
"133","93"
"134","94"
"135","95"
"136","96"
"137","97"
"138","98"
"139","99"
