gdgt0_mu,gdgt1_mu,gdgt2_mu,gdgt3_mu,cren_mu,creniso_mu,gdgt0_sig,gdgt1_sig,gdgt2_sig,gdgt3_sig,cren_sig,creniso_sig,gdgt0_max,gdgt1_max,gdgt2_max,gdgt3_max,cren_max,creniso_max,gdgt0_min,gdgt1_min,gdgt2_min,gdgt3_min,cren_min,creniso_min,gdgt0_weights,gdgt1_weights,gdgt2_weights,gdgt3_weights,cren_weights,creniso_weights
-9.577656745,20.52063274,32.1862543,42.12939638,56.45393595,78.96618643,20.48437074,12.0891839,13.57361727,16.98088715,26.3756928,21.26154799,61.20969854,6.571810686,6.452928178,8.481632805,69.74818801,21.863663,6.864652848,0.778691747,0.112106482,0.19030779,30.64071285,0.868581513,0.013428761,0.139175962,0.725950277,0.86360626,0.092275841,0.668918979
-7.671122112,16.27468998,30.08271763,38.25108151,43.99349009,61.47387372,20.5248963,12.96941768,11.11702885,16.97421983,40.22145062,20.29654014,80.73030154,5.738223749,7.694082201,4.112322322,76.32003136,21.91739089,1.77755868,0.867298411,1.598834818,0.360107936,9.155653795,0.786266612,0.058576901,0.473409803,0.541875632,0.987881184,0.019586964,0.305238197
-8.015778145,19.7874917,31.96711523,41.60775549,54.40279915,61.54151416,19.25679625,12.76192583,13.50030307,16.8150735,39.66522063,16.84871022,68.76037443,6.050937172,7.753531653,5.167430432,62.92451948,23.64209064,10.46473216,0.66818942,0.102189391,0.286578518,16.29405478,1.367782879,0.058566564,0.464670211,0.541101652,0.981942657,0.03115727,0.369787759
-7.999138124,15.63237999,29.86760392,38.24537813,44.00275972,61.54151051,18.95643168,11.96685187,11.66979002,16.91031603,26.0430663,20.67888944,80.49573452,6.556706742,7.738476718,3.923227344,67.04258375,21.90831993,1.621189812,0.86872484,0.257641607,0.222728999,9.585153763,0.131437705,0.058562022,0.510197122,0.536947094,0.990734163,0.02225946,0.3045477
-7.663219951,16.22830979,30.05237026,38.28358849,44.1217272,61.7078944,17.85208758,11.88063957,11.67307535,16.61644343,26.16592738,20.724042,80.11770579,6.564988841,7.728357433,4.112322322,74.94991271,21.97300733,1.682631975,1.607085965,0.49325624,0.314374415,9.385544918,0.102876934,0.058464013,0.509814329,0.541041492,0.980256102,0.019659589,0.301268103
-7.674723714,16.22856276,28.97179189,41.18420467,45.44581079,61.35527357,18.92929694,12.96941768,10.53551831,16.97710223,25.65893639,20.66964056,80.37408657,6.558389203,7.728645013,4.112322322,69.29051239,21.89882151,1.77755868,0.867298411,1.154532647,0.362015147,9.150434693,0.804988381,0.058708187,0.473129023,0.541253577,0.982016116,0.01999546,0.305250409
-8.755252909,21.78236183,29.19509271,44.19734238,42.807905,78.23498425,17.88897026,12.17399711,11.69948986,17.07371009,41.05350346,21.5791534,60.86024152,6.563869663,5.496715273,9.080502273,68.1785826,16.65712669,13.00054285,0.87040329,0.077315242,0.212321074,9.669734937,0.068037561,0.132511174,0.724910087,0.745188079,0.838372255,0.01005633,0.323381186
-7.671122112,16.22856276,30.03047762,41.20084582,43.99349009,61.47008853,18.90885259,13.12564021,11.14454017,16.9747539,26.46385562,20.66964056,80.37408657,6.558389203,7.728645013,4.112322322,75.96640637,22.02449854,1.615606354,0.85928364,1.150061338,0.362015147,9.347223698,0.804988381,0.059228074,0.473129023,0.541253577,0.982016116,0.019586964,0.305250409
-10.02270186,21.78236183,31.22302071,44.02994976,42.807905,78.23498425,19.47420724,12.11927518,11.69978365,16.97019213,40.96098123,21.55930416,61.15102659,6.563869663,5.18601417,9.04090879,68.1785826,16.79843567,12.63493846,0.117612221,1.278859936,0.212321074,10.50160426,0.198556187,0.122669641,0.726707385,0.847360575,0.979070013,0.01005633,0.746193217
-12.02066256,21.78236183,31.34236854,44.19734238,42.807905,78.23498425,19.47420724,12.11927518,11.69948986,16.98888973,40.96098123,21.55930416,61.15102659,6.563756804,5.193873743,8.998482233,68.1785826,21.99486746,12.63493846,0.117612221,0.418755959,0.212305594,10.48373819,0.233353764,0.132828758,0.727664003,0.744260704,0.979267869,0.01005633,0.752200786
-7.671122112,16.22856276,30.08326406,41.18420467,43.64973933,61.53833776,17.90008403,13.07224579,11.14920801,16.9747539,26.01758959,20.67053419,80.37408657,6.591751918,7.728645013,4.111663055,69.29051239,22.0240441,1.689264723,0.867298411,1.156842866,0.362743952,9.441638095,0.763274559,0.058737398,0.473129023,0.541253577,0.975340598,0.019586964,0.305249652
-12.02066256,21.78236183,31.23749245,44.19041808,42.807905,78.23498425,19.47420724,12.11927518,11.69948986,17.04830061,40.96098123,21.55930416,61.15102659,6.563756804,5.620183117,8.998482233,68.1785826,22.0365452,12.63493846,0.017642438,0.426818796,0.246676595,10.48373819,0.224568044,0.132828758,0.727770176,0.744260704,0.987815451,0.01005633,0.752200786
-10.94781079,21.78236183,31.22302071,44.19718271,42.807905,78.23498425,19.47420724,12.11927518,11.69948272,16.97019213,40.96098123,21.55930416,61.15102659,6.563869663,5.191136305,9.04090879,68.1785826,16.79843567,12.63493846,0.117612221,1.280726586,0.212321074,10.48336192,0.198556187,0.122669641,0.726707385,0.847481016,0.979070013,0.01005633,0.746193217
-7.752563224,16.22856276,30.08213379,41.09493698,43.99349009,61.47361601,18.96538114,12.44067621,11.14920801,16.9747539,26.45599111,20.66964056,80.37408657,6.560328068,7.728645013,4.125899983,69.29051239,22.0240441,1.777108643,0.867298411,1.154532647,0.35626518,9.155653795,0.125737602,0.058708187,0.473129023,0.536915711,0.982016116,0.018877023,0.30503213
-10.51618399,21.78236183,31.22302071,44.64120187,44.03341056,78.23498425,19.47420724,12.11927518,11.69978365,16.97019213,40.96098123,20.75792699,60.73542116,6.563869663,5.18601417,9.04090879,67.9950045,16.80630794,12.63493846,0.104253806,1.278859936,0.30122847,9.561975131,0.198556187,0.122669641,0.751241553,0.847360575,0.979070013,0.01005633,0.746193217
-10.45105881,21.78236183,31.22302071,44.02994976,42.807905,78.23498425,19.47420724,12.11927518,11.69978365,16.97019213,40.96098123,21.55930416,61.15102659,6.563869663,5.18601417,9.04090879,68.1785826,16.79843567,12.63493846,0.117612221,1.278859936,0.212321074,10.50160426,0.198556187,0.122669641,0.726707385,0.847360575,0.979070013,0.01005633,0.746193217
-7.890582893,21.75414506,31.22302071,44.02994976,50.08840866,78.23498425,19.47420724,12.11927518,13.43895737,16.99736964,40.96098123,21.59575616,61.15102659,6.563869663,5.18601417,9.04090879,68.1785826,16.79843567,12.72805291,0.117612221,1.278859936,0.212321074,10.50160426,0.20891953,0.110429345,0.391011769,0.847360575,0.977819175,0.008169261,0.746193217
-7.671122112,16.23532672,30.08271763,41.1864805,43.99349009,61.54378437,18.11603152,12.96941768,11.25538551,16.9747539,26.23049644,20.63035421,80.13798952,6.558842077,7.72858058,4.112322322,76.98162681,22.0240441,1.776681314,0.867298411,1.141515648,0.363963302,9.155653795,1.370264466,0.058708187,0.473129023,0.562156168,0.982016116,0.019638213,0.305250409
-8.652609959,15.64771993,29.86760392,38.24537813,44.25464911,61.54151051,20.2243811,11.96685187,11.66979002,16.91031603,26.04337304,23.27769444,80.63621885,6.569900737,7.734884544,3.767061197,67.01915767,21.97388847,6.599970036,0.86872484,0.235680193,0.129463637,9.585153763,1.367089836,0.058169644,0.504557846,0.53734109,0.978833565,0.022076857,0.1316264
-7.904235853,16.22846763,30.04723259,41.1864805,43.99349009,61.54378437,18.11603152,12.96941768,11.25538551,16.93625151,26.18041338,20.63141115,80.13798952,6.558842077,7.727080148,4.112322322,76.98162681,22.0240441,1.776915675,0.867298411,1.154764379,0.363963302,9.155653795,1.362095139,0.058461725,0.473129023,0.562156168,0.982016116,0.019638213,0.305250409
-6.394428699,16.35123915,30.07099832,38.53989416,44.86540116,61.54151051,17.87510797,10.45855671,10.78628371,16.80363166,26.1809807,20.79783851,80.1411221,6.558268959,7.782354225,4.102243039,76.27735771,23.09859443,1.450194775,1.448233182,1.15452929,0.359517927,9.440837607,1.366483508,0.058464013,0.493167508,0.561286694,0.985583631,0.019659589,0.30598274
-6.444055047,20.8514804,29.09418326,37.06180307,54.43881573,61.01708385,20.62782917,11.56586016,13.4038235,11.74825154,34.78156855,20.67240605,68.80323811,5.078041392,8.104865329,4.131701971,69.06933752,23.69574542,1.660857858,1.469153026,0.737037358,0.391351214,15.76662692,0.121813384,0.058342821,0.527677347,0.557435831,0.979755161,0.040644184,0.370686841
-7.962812289,16.24609833,30.46495784,38.98937334,43.99349009,61.46607503,18.98980324,12.37490909,11.66918883,16.97047609,26.18086139,19.99604569,80.21797222,6.558304516,8.050804481,4.088826235,76.11406222,22.10616922,1.619141891,0.79704456,1.150335267,0.356205611,7.914000025,0.132287084,0.060597775,0.509531704,0.542818718,0.98203422,0.018795657,0.312928308
-6.593959026,20.90701311,30.15493982,38.31863457,53.96478868,61.54237978,17.94548009,12.79987668,13.84354936,11.74825154,39.69892862,20.69891768,68.60145325,5.03744444,7.696887034,5.403423404,69.07337166,19.59567769,6.709389404,1.612135149,0.025132479,0.370169328,15.31057376,0.813476846,0.058562483,0.512705678,0.561087032,0.980194065,0.018921732,0.366745001
-6.444055047,20.8514804,29.05025897,37.09823972,54.43881573,61.53959965,20.62782917,11.56586016,13.4038235,11.73829993,34.78156855,20.66052331,68.81296764,5.078041392,8.104865329,4.131701971,69.06933752,23.69574542,1.996332858,1.467014648,0.71206423,0.391351214,15.76662692,0.814908816,0.0583485,0.470503295,0.557435831,0.979723382,0.040644184,0.370706769
-7.573791476,16.28721077,30.08971759,40.48819207,44.11004528,61.51914927,19.19780076,11.34476989,10.55110745,16.973014,25.90023375,20.41706861,79.65458024,6.629511853,7.729348256,4.112322322,75.16277135,21.67565496,1.888484615,1.517166341,1.191939065,0.397522042,9.443687567,1.375986485,0.058708807,0.502868212,0.564371117,0.982270523,0.030984699,0.351505607
-6.287987461,16.12095853,30.06506396,42.44918203,44.87011848,61.54151051,17.90386792,11.46411371,11.76890527,17.17171022,26.1809807,20.78789676,80.14107137,6.558268959,8.769750749,4.111369756,76.27735771,23.09859443,1.450194775,0.857031229,1.183115514,0.310408014,9.790197411,0.690752128,0.058464013,0.502632352,0.495624443,0.982016116,0.022142804,0.305286682
-6.65855854,16.35641285,30.06506396,38.60624766,44.86721159,61.54151051,17.82322321,10.45634199,11.76890527,16.80714558,26.1809807,20.6412622,80.14107137,6.593641698,7.782354225,4.116000118,76.28251896,23.09859443,1.644768492,1.452298886,1.159928759,0.310408014,9.33682003,0.180944797,0.058464013,0.505999156,0.541041492,0.982016116,0.034062202,0.30617833
-9.53672116,16.64203376,32.26537318,42.11256329,55.01590933,78.90835729,19.70966526,10.35616516,13.65186928,15.69374159,33.44800475,19.62070189,61.36852868,5.470828496,6.468038912,8.579294708,63.33520031,21.70154537,17.75192944,0.778691747,0.183980947,0.685231023,30.46647163,1.945761303,0.013428761,0.32309173,0.722606142,0.888360085,0.149328358,0.473563914
-7.750191292,16.22775451,30.03858335,30.10787531,45.62717978,61.4685314,18.52052104,11.5179867,10.65415805,11.81686516,26.46381929,20.78887812,79.52258397,6.557033189,9.028959665,2.932379771,75.32939029,21.97368896,1.681585412,0.858618498,0.931050886,0.321199917,16.26151549,1.326050527,0.058382394,0.518195474,0.538088372,0.943976593,0.020229655,0.285457453
-7.684032322,16.22856276,29.96463349,41.24204251,43.9949156,61.51348198,18.52690133,10.45913567,11.75315026,16.97963623,26.1809807,20.66859284,80.14107137,6.558275376,7.780693989,4.112322322,76.28433633,21.96478432,1.663241348,1.450509958,1.18146833,0.431600495,9.329390488,1.38632481,0.058462356,0.489322529,0.541245051,0.983181631,0.020218512,0.286065835
-6.349182255,16.35123915,30.06506396,38.07486328,44.86721159,61.54151051,17.87448367,10.45855671,11.76890527,16.80363166,26.1809807,20.64161319,80.14107137,6.558268959,7.782354225,3.10630742,76.27735771,23.09859443,1.450194775,1.448233182,1.159928759,0.310408014,9.441093642,1.38618288,0.058464013,0.503005038,0.541041492,0.982016116,0.019659589,0.305286682
-12.02066519,21.78236183,31.33939073,44.17710099,42.807905,78.24435286,19.55000743,12.11927518,11.69948986,16.72087268,40.95789932,21.55930416,61.29963187,6.561607869,5.74300076,9.043829323,68.18806068,16.79603484,12.72689315,0.107675542,1.263789056,0.212321074,10.48373819,0.742649767,0.132841317,0.714961072,0.744260704,0.836416653,0.01005633,0.753538069
-7.898066388,16.23704945,30.068796,39.59726978,43.99334016,61.5510591,18.9238378,10.01853962,10.53257509,16.94973973,26.17826702,20.6697311,76.10942499,6.604299211,7.729441562,4.179801598,76.38483256,22.0422338,1.641792604,0.867162616,1.190133819,0.366888787,9.065445127,1.371901782,0.058456746,0.509576412,0.561201258,0.992695586,0.029924229,0.269284689
-10.95125517,21.78236183,31.22302071,45.01326057,44.03341056,78.23498425,19.22236577,12.11927518,11.70192576,17.22306625,40.96098123,20.75792699,60.82962074,6.563869663,5.18601417,8.854572465,67.9950045,16.80630794,12.63493846,0.104253806,1.00322972,0.302106722,9.258428181,1.919001343,0.122669641,0.499590543,0.847360575,0.982069998,0.01005633,0.743905095
-7.573791476,16.28721077,30.08240017,40.48819207,44.00085755,61.54407903,18.12531034,11.3324776,10.55110745,16.973014,25.89660736,20.41646068,79.65458024,6.62778202,7.729348256,4.112322322,75.16277135,21.67565496,1.78094844,0.885783067,1.191939065,0.363695701,9.442264498,1.370212963,0.058708807,0.473069283,0.564371117,0.982270523,0.030831015,0.351505607
-6.65855854,16.35123915,30.06506396,38.07486328,44.86721159,61.54151051,17.87448367,10.45855671,11.76890527,16.80363166,26.1809807,20.64161319,80.14107137,6.558268959,7.782354225,3.10630742,76.27735771,23.09859443,1.450194775,1.448233182,1.159928759,0.310408014,9.441093642,1.38618288,0.058464013,0.503005038,0.541041492,0.982016116,0.019659589,0.305286682
