Name,Region,Longitude,Latitude,Water depth (m),Annual mean SST (°C)a,Annual mean temperature 0-200 m (°C)a,fGDGT-0,fGDGT-1,fGDGT-2,fGDGT-3,fcren,fcren',fOH-GDGT-0,fOH-GDGT-1,fOH-GDGT-2,GDGT-0,GDGT-1,GDGT-2,GDGT-3,cren,cren',OH-GDGT-0,OH-GDGT-1,OH-GDGT-2,BITd,TEX86,RI-OH,RI-OH',OHC,%OH,TEX86OH,Lab,Methodse,MS infof,Reference paper,Reference paper for non-hydroxylated isoGDGTs
BS 01E-27,Black Sea,29.5,45.5,27,13.4,2.9,0.47,0.03,0.02,0.01,0.46,0.01,0.93,0.05,0.01,880510,59550,39581,24683,852928,12552,134945,7835,2129,,0.56,1.21,0.08,-0.21,7.19,0.28,NIOZ,2,1,This study,"Kim et al., 2010"
BS 02E-105,Black Sea,32,45,105,13.3,3.8,0.39,0.03,0.01,0,0.56,0,0.73,0.17,0.09,4527182,351796,127274,47539,6390976,41287,403166,96224,52352,,0.38,1.35,0.36,-0.17,4.58,0.22,NIOZ,2,1,This study,"Kim et al., 2010"
BS 04E-114,Black Sea,30,44.5,114,14.2,3.2,0.38,0.03,0.01,0,0.56,0.01,0.74,0.16,0.09,14790043,1153429,510374,169261,21618121,196689,1265325,281763,161648,,0.43,1.36,0.35,-0.1,4.26,0.27,NIOZ,2,1,This study,"Kim et al., 2010"
BS 05E-564,Black Sea,30.5,44,564,14.2,3.2,0.38,0.03,0.01,0,0.57,0.01,0.86,0.1,0.05,2726214,197133,83655,20511,4030802,42622,155028,18034,8157,0.02,0.43,1.31,0.19,-0.02,2.49,0.29,NIOZ,2,1,This study,"Kim et al., 2010"
BS 07E-1288,Black Sea,34,44,1288,14.9,8.8,0.42,0.03,0.01,0,0.54,0,0.84,0.1,0.06,47187949,3167118,1249390,315202,61210755,550494,3355615,412561,219988,0.01,0.4,1.35,0.21,-0.13,3.39,0.24,NIOZ,2,1,This study,"Kim et al., 2010"
BS2  Arkona basin,Baltic Sea,14.71,54.62,47,9.4,1.1,0.36,0.02,0.01,0,0.61,0,0.84,0.12,0.04,11616404,509045,176741,93671,19671581,62869,1482889,209938,76962,,0.4,1.27,0.21,-0.44,5.22,0.14,NIOZ,2,1,This study,"Kim et al., 2010"
BS3,Baltic Sea,16.71,55.62,66,8.8,2.7,0.47,0.02,0.01,0,0.5,0,0.86,0.11,0.03,7044269,314146,97558,35962,7407583,50003,935026,120799,32041,0.06,0.37,1.21,0.17,-0.47,6.78,0.13,NIOZ,1,1,This study,"Kim et al., 2010"
BS4 Gotland deep,Baltic Sea,19.71,57.62,115,8.4,5.2,0.45,0.02,0.01,0,0.52,0,0.91,0.07,0.02,12691078,444999,142057,56042,14748140,81881,2086023,155812,38167,0.03,0.39,1.2,0.1,-0.6,7.49,0.1,NIOZ,2,1,This study,"Kim et al., 2010"
BS5 Gotland deep,Baltic Sea,20.71,57.62,240,8.4,5.2,0.42,0.02,0.01,0,0.55,0,0.88,0.1,0.02,16721938,725611,224011,73993,21875240,127941,1862233,204125,49440,0.06,0.37,1.19,0.14,-0.44,5.05,0.14,NIOZ,2,1,This study,"Kim et al., 2010"
BS625,Barents Sea,21.75,71.72,360,6.5,5.7,0.55,0.03,0.01,0,0.4,0,0.81,0.15,0.04,14508538,892618,268971,117857,10494091,71745,897024,167362,48709,,0.34,1.23,0.24,-0.18,4.05,0.2,NIOZ,2,1,This study,"Kim et al., 2010"
BS627,Barents Sea,24.05,72.32,264,5.9,5,0.55,0.03,0.01,0,0.41,0,0.83,0.13,0.04,16714651,813086,246917,98636,12656945,58436,1244476,201435,54404,,0.33,1.21,0.21,-0.31,4.68,0.16,NIOZ,2,1,This study,"Kim et al., 2010"
BS629,Barents Sea,24.25,73,404,5.9,5,0.57,0.02,0.01,0,0.4,0,0.88,0.1,0.02,9639216,350130,108631,41895,6681626,19779,804222,100505,20649,,0.33,1.18,0.14,-0.44,5.21,0.13,NIOZ,2,1,This study,"Kim et al., 2010"
BS631,Barents Sea,24.46,73.66,451,4.9,4.1,0.54,0.02,0,0,0.43,0,0.92,0.07,0.01,7442237,232770,55134,41706,5904195,30003,856477,65381,12979,0.04,0.35,1.17,0.1,-0.56,6.39,0.1,NIOZ,2,1,This study,"Kim et al., 2010"
BS633,Barents Sea,24.68,74.33,373,3,2.2,0.55,0.02,0,0,0.43,0,0.92,0.06,0.01,6842428,207846,50569,38313,5329142,24779,1036350,72618,13363,0.03,0.35,1.16,0.09,-0.64,8.24,0.08,NIOZ,2,1,This study,"Kim et al., 2010"
BS635,Barents Sea,24.94,75,182,0.5,-0.1,0.47,0.01,0,0,0.51,0,0.94,0.05,0.01,11427630,277418,70126,58054,12503045,46037,2194508,113980,18815,0.03,0.39,1.14,0.07,-0.73,8.71,0.07,NIOZ,2,1,This study,"Kim et al., 2010"
BS639,Barents Sea,27.89,75.56,263,1.8,1.4,0.48,0.01,0,0,0.5,0,0.95,0.04,0.01,21881506,519565,132282,109664,22428732,80447,3891374,166742,28007,0.02,0.38,1.14,0.05,-0.72,8.3,0.07,NIOZ,2,1,This study,"Kim et al., 2010"
BS643,Barents Sea,29.9,76.49,291,0.8,1.1,0.51,0.01,0,0,0.47,0,0.95,0.04,0.01,8685497,209904,50553,40615,7919405,26366,1369202,57625,9290,0.03,0.36,1.14,0.05,-0.71,7.82,0.07,NIOZ,2,1,This study,"Kim et al., 2010"
BS645,Barents Sea,29.45,75.85,296,2.1,1.8,0.5,0.01,0,0,0.48,0,0.95,0.04,0.01,4896829,118677,30291,25580,4697306,19547,790317,35530,7265,0.03,0.39,1.17,0.06,-0.7,7.84,0.08,NIOZ,2,1,This study,"Kim et al., 2010"
BS647,Barents Sea,29,75.2,343,2,1.6,0.5,0.01,0,0,0.48,0,0.94,0.05,0.01,6168946,161840,38986,33729,5958054,24160,922839,51964,9623,0.03,0.37,1.16,0.07,-0.66,7.36,0.08,NIOZ,2,1,This study,"Kim et al., 2010"
BS649,Barents Sea,28.57,74.53,394,3.9,3.1,0.55,0.01,0,0,0.43,0,0.94,0.05,0.01,8397304,224395,55075,45769,6554404,28114,1202790,61724,11402,0.03,0.36,1.16,0.07,-0.66,7.7,0.08,NIOZ,2,1,This study,"Kim et al., 2010"
BS651,Barents Sea,26.07,74.63,317,3.7,2.9,0.55,0.02,0,0,0.42,0,0.94,0.05,0.01,8680946,238405,58577,47084,6689135,29878,1288180,67841,13696,0.03,0.36,1.17,0.07,-0.66,8,0.08,NIOZ,2,1,This study,"Kim et al., 2010"
BS653,Barents Sea,25.8,73.97,441,4.8,4,0.53,0.02,0,0,0.44,0,0.9,0.08,0.02,1680905,54019,13337,10040,1413941,9143,229010,19739,4489,0.04,0.38,1.19,0.11,-0.58,7.37,0.1,NIOZ,2,1,This study,"Kim et al., 2010"
BS655,Barents Sea,25.53,73.3,412,4.8,4,0.56,0.02,0,0,0.41,0,0.89,0.09,0.02,7056067,256430,60730,40671,5164625,28674,762284,77290,16422,0.04,0.34,1.18,0.13,-0.51,6.36,0.11,NIOZ,2,1,This study,"Kim et al., 2010"
BS657,Barents Sea,25.27,72.63,268,5.7,4.9,0.54,0.02,0.01,0,0.42,0,0.86,0.11,0.03,3686204,167343,44130,28305,2889178,18015,356288,46781,11833,0.05,0.35,1.2,0.17,-0.4,5.72,0.15,NIOZ,2,1,This study,"Kim et al., 2010"
BS659,Barents Sea,25.05,71.97,256,6.1,5.5,0.53,0.03,0.01,0,0.42,0,0.8,0.15,0.04,1388391,83121,22192,12557,1099340,8371,125936,23734,6821,0.05,0.34,1.22,0.24,-0.29,5.65,0.17,NIOZ,2,1,This study,"Kim et al., 2010"
BS661,Barents Sea,22.76,71.37,408,6.4,5.5,0.52,0.04,0.01,0,0.43,0,0.78,0.17,0.05,2209667,153103,36861,20942,1838619,16360,166241,36817,11177,0.09,0.33,1.23,0.28,-0.21,4.77,0.19,NIOZ,2,1,This study,"Kim et al., 2010"
BS665,Barents Sea,28.4,72.17,289,5.4,4.6,0.54,0.03,0.01,0,0.42,0,0.83,0.14,0.03,1775477,88505,20514,12842,1370754,10183,175771,28715,7226,0.04,0.33,1.2,0.2,-0.38,6.07,0.14,NIOZ,2,1,This study,"Kim et al., 2010"
BS667,Barents Sea,28.75,72.83,305,5.4,4.6,0.54,0.02,0.01,0,0.42,0,0.86,0.11,0.03,1178676,52658,15173,9211,901622,6806,136288,17892,5086,0.05,0.37,1.22,0.18,-0.43,6.85,0.14,NIOZ,2,1,This study,"Kim et al., 2010"
BS669,Barents Sea,29.15,73.5,414,4.7,3.9,0.55,0.02,0,0,0.43,0,0.91,0.08,0.01,13382530,435554,102462,74615,10437805,51336,1670881,142269,26960,0.03,0.34,1.16,0.11,-0.58,6.99,0.1,NIOZ,2,1,This study,"Kim et al., 2010"
BS671,Barents Sea,29.55,74.15,366,3.8,3.1,0.54,0.02,0,0,0.43,0,0.92,0.06,0.01,3611809,110924,27696,20090,2854961,13307,470732,32400,6517,0.02,0.36,1.17,0.09,-0.6,7.13,0.1,NIOZ,2,1,This study,"Kim et al., 2010"
BS673,Barents Sea,32.49,74.67,165,3.2,1.9,0.47,0.01,0,0,0.51,0,0.95,0.04,0.01,8752455,193984,53187,53368,9616872,32774,1731705,70749,11857,0.03,0.42,1.14,0.05,-0.74,8.84,0.07,NIOZ,2,1,This study,"Kim et al., 2010"
BS675,Barents Sea,33.07,75.32,209,2.1,1.6,0.47,0.01,0,0,0.51,0,0.95,0.04,0.01,4632171,109094,29247,27238,5044552,19471,839525,34918,7131,0.02,0.41,1.17,0.06,-0.72,8.21,0.07,NIOZ,2,1,This study,"Kim et al., 2010"
BS677,Barents Sea,33.73,75.97,276,2.1,1.6,0.51,0.01,0,0,0.47,0,0.94,0.05,0.01,4245107,105872,27258,23262,3934135,14170,693631,34087,7391,0.03,0.38,1.18,0.07,-0.69,8.09,0.07,NIOZ,2,1,This study,"Kim et al., 2010"
BS679,Barents Sea,34.45,76.62,193,0.3,0.3,0.5,0.01,0,0,0.48,0,0.95,0.04,0.01,6639315,172869,38720,36171,6384126,22539,1282020,60356,11121,0.04,0.36,1.16,0.06,-0.73,9.24,0.06,NIOZ,2,1,This study,"Kim et al., 2010"
BS681,Barents Sea,37.17,76.43,249,0.2,0.1,0.53,0.01,0,0,0.45,0,0.95,0.04,0.01,5960744,152186,35735,28979,5128535,20198,989402,43022,8180,0.02,0.36,1.16,0.06,-0.71,8.41,0.07,NIOZ,2,1,This study,"Kim et al., 2010"
BS690,Barents Sea,30.95,71.01,283,5.8,4.9,0.52,0.02,0,0,0.45,0,0.9,0.08,0.02,6048884,233795,57101,35589,5278384,30034,756674,69012,16101,0.08,0.34,1.19,0.12,-0.53,6.72,0.11,NIOZ,2,1,This study,"Kim et al., 2010"
BS692,Barents Sea,31.71,70.62,252,5.5,4.6,0.5,0.02,0.01,0,0.46,0,0.87,0.1,0.02,2563142,116091,27853,18036,2339534,14489,313422,37512,7926,0.09,0.34,1.17,0.15,-0.47,6.6,0.12,NIOZ,2,1,This study,"Kim et al., 2010"
BY31 Landsort deep,Baltic Sea,18.71,58.62,466,7.6,2.7,0.47,0.02,0.01,0,0.51,0,0.85,0.12,0.03,11666139,428564,159072,40064,12711628,41379,1315123,175516,48327,,0.36,1.2,0.17,-0.49,5.79,0.12,NIOZ,2,1,This study,"Kim et al., 2010"
BY310 Landsort deep oxic,Baltic Sea,17.71,58.62,54,7.6,2.7,0.52,0.02,0.01,0,0.46,0,0.89,0.09,0.03,14216239,511219,170398,64478,12537242,48608,2037278,200975,57564,,0.36,1.22,0.14,-0.57,7.69,0.1,NIOZ,2,1,This study,"Kim et al., 2010"
BY5 Bornholm ,Baltic Sea,15.71,55.62,89,8.2,2.8,0.43,0.02,0.01,0,0.53,0,0.86,0.11,0.03,4128511,203251,75701,23565,5109940,30626,529805,69037,19383,0.05,0.39,1.22,0.17,-0.42,6.07,0.15,NIOZ,2,1,This study,"Kim et al., 2010"
Cariaco Basin,Cariaco Basin,-65.6,10.67,,26.6,20.9,0.16,0.05,0.08,0.01,0.66,0.04,,,,2546538,829247,1241918,230069,10531870,626026,,,,,0.72,,,,,0.72,NIOZ,2,1,This study,"Kim et al., 2010"
CB2 MC19,North Pacific,-125.83,46.77,2700,12.4,8.8,0.42,0.07,0.04,0,0.46,0.01,0.74,0.18,0.09,4057957,633016,398574,34952,4386465,115320,132591,31975,15589,0.02,0.46,1.33,0.35,0.31,1.84,0.42,NIOZ,2,1,This study,"Kim et al., 2010"
CL03-35 BC,Gulf of St. Lawrence,-58.71,46.62,370,6.3,2.9,0.5,0.03,0.01,0,0.46,0,0.88,0.09,0.02,9010254,508166,186466,36644,8298210,41180,896709,100490,28051,,0.34,1.2,0.14,-0.35,5.37,0.16,NIOZ,2,1,This study,"Kim et al., 2010"
DNT05-22 BEN,Gulf of St. Lawrence,-58.71,46.62,18,6.3,2.9,0.48,0.03,0.01,0,0.47,0,0.61,0.3,0.09,2545089,178067,56575,16701,2494438,5408,126770,61597,19299,,0.31,1.24,0.48,-0.1,3.77,0.21,NIOZ,2,1,This study,"Kim et al., 2010"
G2-85 7 0-1,Savu Sea,123.6,-9,,28.2,21.7,0.27,0.07,0.06,0.01,0.56,0.03,,,,3697947,908795,870199,144142,7632834,387935,,,,,0.61,,,,,0.61,NIOZ,2,1,This study,"Kim et al., 2010"
G2-85 pist 0-1,Savu Sea,123.64,-8.99,,28.2,21.7,0.27,0.07,0.07,0.01,0.55,0.03,0.48,0.19,0.33,4156356,1079708,1043996,196152,8602796,443396,67958,27179,46059,,0.61,1.63,0.84,0.56,0.9,0.59,NIOZ,2,1,This study,"Kim et al., 2010"
G2-9 box 0-1,Savu Sea,123.59,-9.34,2720,28.2,21.7,0.24,0.07,0.07,0.02,0.56,0.04,0.45,0.2,0.35,3732086,1121143,1082322,254573,8800849,682333,69161,30251,53596,0.05,0.64,1.64,0.9,0.59,0.97,0.63,NIOZ,2,1,This study,"Kim et al., 2010"
G2-9 trp 0-1,Savu Sea,123.59,-9.34,2720,28.2,21.7,0.22,0.07,0.07,0.02,0.57,0.05,0.38,0.19,0.43,4002621,1305782,1349204,308219,10513964,829697,50241,25155,56681,0.02,0.66,1.69,1.05,0.62,0.72,0.65,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB10034-3,West Sumatra,101.5,-4.16,995,29.1,23.2,0.13,0.05,0.07,0.01,0.68,0.06,0.28,0.22,0.5,735236,263018,389008,78347,3882408,346821,10095,7803,18020,0.04,0.76,1.7,1.22,0.72,0.63,0.75,NIOZ,3,1,This study,"Kim et al., 2010"
