sampleName,drilling_program,Site,Site_edited,Latitude,Longitude,sampleID_new,modernWaterDepth,sampleDepth,Sample Age (Ma),reported_Temp,reported_T_method,fGDGT_0,fGDGT_1,fGDGT_2,fGDGT_3,fGDGT_cren,fGDGT_cren',BITindex,dataType_level2,"Geological Age
(Name)",Source,duplicate_Datasets,incomplete_GDGT_fractions,detectionLimit_check,Source2,DOI
Alsenz2013_Aderet1_01,Israel-onshore,Aderet 1,Aderet 1,31.6541,34.9916,RR00001,#N/A,265.3,69.05,28.0436,SST-TEX86H,0.2069,0.0856,0.0953,0.032,0.5068,0.0733,#N/A,Mesozoic,08_Cretaceous,"Alsenz et al. (2013) Palaeogeography, Palaeoclimatology, Palaeoecology",No,No,Pass,Alsenz et al. (2013),https://doi.org/10.1016/j.palaeo.2013.09.013
Alsenz2013_Aderet1_02,Israel-onshore,Aderet 1,Aderet 1,31.6541,34.9916,RR00002,#N/A,268.2,69.1,28.9396,SST-TEX86H,0.2202,0.0794,0.0864,0.0318,0.4939,0.0883,#N/A,Mesozoic,08_Cretaceous,"Alsenz et al. (2013) Palaeogeography, Palaeoclimatology, Palaeoecology",No,No,Pass,Alsenz et al. (2013),https://doi.org/10.1016/j.palaeo.2013.09.013
Alsenz2013_Aderet1_03,Israel-onshore,Aderet 1,Aderet 1,31.6541,34.9916,RR00003,#N/A,271.6,69.16,28.2665,SST-TEX86H,0.1968,0.0757,0.0812,0.0312,0.5456,0.0695,#N/A,Mesozoic,08_Cretaceous,"Alsenz et al. (2013) Palaeogeography, Palaeoclimatology, Palaeoecology",No,No,Pass,Alsenz et al. (2013),https://doi.org/10.1016/j.palaeo.2013.09.013
Alsenz2013_Aderet1_04,Israel-onshore,Aderet 1,Aderet 1,31.6541,34.9916,RR00004,#N/A,274.59,69.21,28.6325,SST-TEX86H,0.1819,0.0705,0.0792,0.0254,0.5706,0.0724,#N/A,Mesozoic,08_Cretaceous,"Alsenz et al. (2013) Palaeogeography, Palaeoclimatology, Palaeoecology",No,No,Pass,Alsenz et al. (2013),https://doi.org/10.1016/j.palaeo.2013.09.013
Alsenz2013_Aderet1_05,Israel-onshore,Aderet 1,Aderet 1,31.6541,34.9916,RR00005,#N/A,277.55,69.26,28.1694,SST-TEX86H,0.2218,0.0851,0.1001,0.0311,0.4908,0.0711,#N/A,Mesozoic,08_Cretaceous,"Alsenz et al. (2013) Palaeogeography, Palaeoclimatology, Palaeoecology",No,No,Pass,Alsenz et al. (2013),https://doi.org/10.1016/j.palaeo.2013.09.013
Alsenz2013_Aderet1_06,Israel-onshore,Aderet 1,Aderet 1,31.6541,34.9916,RR00006,#N/A,280.69,69.31,30.0196,SST-TEX86H,0.1951,0.075,0.097,0.033,0.5061,0.0939,#N/A,Mesozoic,08_Cretaceous,"Alsenz et al. (2013) Palaeogeography, Palaeoclimatology, Palaeoecology",No,No,Pass,Alsenz et al. (2013),https://doi.org/10.1016/j.palaeo.2013.09.013
Alsenz2013_Aderet1_07,Israel-onshore,Aderet 1,Aderet 1,31.6541,34.9916,RR00007,#N/A,283.8,69.37,28.2249,SST-TEX86H,0.1828,0.0722,0.077,0.0287,0.5724,0.0669,#N/A,Mesozoic,08_Cretaceous,"Alsenz et al. (2013) Palaeogeography, Palaeoclimatology, Palaeoecology",No,No,Pass,Alsenz et al. (2013),https://doi.org/10.1016/j.palaeo.2013.09.013
Alsenz2013_Aderet1_08,Israel-onshore,Aderet 1,Aderet 1,31.6541,34.9916,RR00008,#N/A,287.79,69.43,26.9207,SST-TEX86H,0.2637,0.0894,0.0929,0.0325,0.4612,0.0604,#N/A,Mesozoic,08_Cretaceous,"Alsenz et al. (2013) Palaeogeography, Palaeoclimatology, Palaeoecology",No,No,Pass,Alsenz et al. (2013),https://doi.org/10.1016/j.palaeo.2013.09.013
Alsenz2013_Aderet1_09,Israel-onshore,Aderet 1,Aderet 1,31.6541,34.9916,RR00009,#N/A,290.84,69.49,26.418,SST-TEX86H,0.2495,0.0954,0.095,0.0316,0.4669,0.0616,#N/A,Mesozoic,08_Cretaceous,"Alsenz et al. (2013) Palaeogeography, Palaeoclimatology, Palaeoecology",No,No,Pass,Alsenz et al. (2013),https://doi.org/10.1016/j.palaeo.2013.09.013
Alsenz2013_Aderet1_10,Israel-onshore,Aderet 1,Aderet 1,31.6541,34.9916,RR00010,#N/A,300.05,69.64,26.6421,SST-TEX86H,0.2693,0.0928,0.0937,0.0341,0.4506,0.0595,#N/A,Mesozoic,08_Cretaceous,"Alsenz et al. (2013) Palaeogeography, Palaeoclimatology, Palaeoecology",No,No,Pass,Alsenz et al. (2013),https://doi.org/10.1016/j.palaeo.2013.09.013
